나카, 46, 140
하하, 82, 164
타파, 43, 163
파바, 57, 187
다아, 96, 149
하나, 66, 168
아바, 93, 155
다차, 63, 183
마카, 86, 192
가카, 63, 157
차하, 79, 150
나가, 84, 181
가라, 67, 195
다나, 59, 175
나다, 48, 150
라카, 73, 181
사라, 91, 146
타카, 44, 185
나파, 54, 188
타마, 99, 144
아다, 53, 150
카차, 57, 164
다타, 44, 187
마다, 96, 145
나라, 64, 149
타아, 83, 195
마사, 66, 148
자마, 46, 186
하하, 60, 166
나차, 81, 154
나차, 83, 154
가타, 49, 192
나타, 90, 148
마아, 60, 177
바바, 64, 141
마차, 66, 199
차자, 51, 194
라자, 70, 160
하타, 93, 174
하사, 91, 175
차아, 51, 189
파파, 44, 155
자나, 88, 158
나가, 91, 181
파다, 86, 152
파라, 74, 161
타가, 76, 190
마마, 58, 143
자파, 70, 180
다마, 52, 151
사카, 56, 190
하파, 95, 172
바차, 85, 161
타하, 88, 168
하하, 64, 182
하나, 56, 156
자마, 55, 148
사차, 83, 197
다사, 62, 151
가아, 92, 184
라차, 83, 158
라자, 57, 148
하나, 73, 173
바사, 84, 164
타다, 95, 181
가나, 47, 141
가바, 74, 155
사가, 88, 168
자아, 93, 150
차바, 61, 190
가아, 72, 143
자가, 53, 172
차하, 41, 189
하자, 93, 172
다바, 41, 198
나파, 73, 154
차카, 75, 169
자카, 99, 141
타마, 91, 189
아차, 56, 188
마하, 80, 168
라마, 55, 149
자차, 97, 154
바아, 92, 175
하가, 78, 182
카차, 77, 193
타사, 96, 172
사아, 99, 168
하바, 67, 198
바타, 46, 184
차가, 94, 146
가가, 63, 192
마다, 89, 158
라마, 67, 191
파아, 46, 172
파하, 96, 188
라파, 54, 155
나아, 84, 159
파하, 79, 171
파자, 48, 185
가파, 60, 147
마다, 44, 165
카자, 91, 171
가타, 92, 196
하라, 49, 196
차바, 80, 176
바나, 63, 147
타사, 53, 176
자라, 49, 174
차바, 62, 175
마바, 92, 169
사사, 59, 193
자자, 51, 183
차차, 42, 155
사하, 47, 191
자카, 42, 143
자타, 75, 171
다바, 84, 171
나마, 80, 193
마가, 86, 157
마다, 87, 159
파자, 70, 198
자마, 91, 159
파사, 99, 196
가사, 42, 155
가나, 89, 170
타타, 40, 142
마파, 87, 179
자사, 60, 192
라가, 94, 156
사카, 72, 190
마바, 43, 166
라아, 68, 155
자나, 58, 166
가라, 90, 159
가타, 76, 158
바바, 75, 185
하나, 66, 169
차라, 63, 153
파바, 97, 143
라마, 83, 192
바나, 78, 198
라하, 81, 152
하아, 50, 158
가파, 82, 176
자사, 98, 163
타다, 96, 192
마하, 58, 185
타나, 67, 197
사파, 68, 166
나가, 41, 196
마차, 50, 199
파아, 42, 189
사아, 73, 187
라카, 86, 140
바라, 97, 183
바타, 48, 147
나타, 74, 145
마마, 81, 192
파타, 90, 196
파바, 91, 195
아하, 42, 141
바하, 69, 167
아바, 83, 185
바아, 77, 166
자사, 45, 181
사아, 89, 169
타다, 72, 181
마파, 48, 163
다타, 83, 160
마차, 87, 159
다나, 43, 179
차라, 54, 179
라마, 95, 188
사마, 99, 181
파다, 50, 151
파파, 55, 181
가카, 43, 190
다바, 51, 182
타카, 67, 175
마차, 95, 142
파바, 72, 145
마라, 54, 152
사하, 88, 143
다라, 87, 198
하파, 74, 155
카타, 86, 183
바카, 84, 184
다타, 71, 197
아파, 70, 148
다나, 86, 185
타라, 68, 191
바가, 50, 162
바마, 70, 152
파카, 93, 190
카다, 95, 151
마카, 85, 158
가파, 55, 140
다다, 50, 170
하아, 73, 166
나바, 78, 145
라사, 92, 178
차마, 50, 162
아파, 95, 188
카카, 51, 184
차차, 78, 158
가파, 43, 198
가타, 84, 149
아아, 46, 182
아바, 67, 154
라아, 71, 177
하가, 92, 196
하아, 93, 143
하다, 88, 146
타다, 48, 191
아하, 83, 177
바파, 73, 184
타가, 69, 153
나파, 95, 166
파자, 95, 180
자마, 62, 186
파아, 99, 158
자타, 97, 197
다사, 73, 161
파아, 60, 172
바나, 90, 171
마다, 48, 195
자파, 90, 185
나다, 42, 145
나사, 66, 197
가라, 95, 173
바라, 82, 164
자차, 74, 164
마카, 73, 177
마하, 74, 141
가자, 97, 190
사자, 60, 193
파라, 87, 157
다라, 49, 192
차나, 68, 154
라파, 83, 164
차타, 89, 146
마가, 74, 174
마타, 96, 145
차타, 87, 188
파마, 59, 186
마나, 90, 150
카나, 41, 195
아자, 90, 168
라아, 46, 192
차파, 50, 171
하아, 60, 177
파사, 93, 185
카카, 96, 157
파자, 85, 198
하자, 45, 174
마바, 98, 177
다카, 55, 145
자바, 91, 142
라다, 58, 199
타타, 83, 150
아마, 43, 155
아사, 64, 152
다라, 57, 155
사나, 83, 192
사사, 63, 176
다아, 73, 150
마아, 61, 188
타라, 47, 187
차마, 49, 167
자사, 79, 190
파타, 41, 150
카다, 45, 185
하바, 88, 165
타바, 79, 183
파타, 92, 148
마다, 84, 188
다나, 76, 155
자차, 60, 169
사라, 47, 142
아라, 60, 183
하라, 46, 151
타가, 60, 150
나하, 92, 175
다파, 57, 156
마타, 75, 183
라하, 43, 191
라자, 98, 198
자자, 87, 162
바다, 93, 177
아파, 72, 187
나마, 44, 166
아라, 75, 195
자타, 40, 142
